Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
189;21101052354;"Frontiers in Big Data";journal;"2624909X";"Frontiers Media SA";Yes;No;0,554;Q3;33;103;384;5522;1318;351;2,77;53,61;30,00;0;36;Switzerland;Western Europe;"Frontiers Media SA";"2018-2025";"Computer Science (miscellaneous) (Q2); Information Systems (Q2); Artificial Intelligence (Q3)";"Computer Science"
190;26138;"Parallel Computing";journal;"01678191";"Elsevier B.V.";No;No;0,541;Q3;72;21;140;888;378;136;2,64;42,29;24,24;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1984-2025";"Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
191;24357;"Journal of Experimental and Theoretical Artificial Intelligence";journal;"13623079, 0952813X";"Taylor and Francis Ltd.";No;No;0,535;Q3;55;107;175;5407;542;175;2,93;50,53;29,79;0;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2025";"Software (Q2); Artificial Intelligence (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
192;21101199922;"Proceedings - IEEE Global Communications Conference, GLOBECOM";conference and proceedings;"25766813, 23340983";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,535;-;85;0;3255;0;5370;3246;1,43;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2012-2023";"Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture; Signal Processing";"Computer Science"
193;21101199913;"IET Blockchain";journal;"26341573";"John Wiley and Sons Inc";Yes;No;0,532;Q3;9;42;46;1838;164;44;3,61;43,76;34,07;0;10;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2021-2025";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Artificial Intelligence (Q3)";"Computer Science"
194;21101017166;"KI - Kunstliche Intelligenz";journal;"16101987, 09331875";"Springer International Publishing";No;No;0,522;Q3;34;54;109;2101;388;82;1,92;38,91;17,32;1;9;Switzerland;Western Europe;"Springer International Publishing";"2010-2025";"Artificial Intelligence (Q3)";"Computer Science"
195;12795;"Perception";journal;"14684233, 03010066";"SAGE Publications Inc.";No;No;0,515;Q3;106;59;192;2156;278;180;1,14;36,54;41,56;0;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"1972-2025";"Ophthalmology (Q2); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)";"Computer Science; Medicine; Neuroscience; Psychology"
196;21101173094;"Qubahan Academic Journal";journal;"27098206";"Qubahan";Yes;No;0,514;Q3;14;160;94;7957;497;94;1,79;49,73;47,44;0;86;Iraq;Middle East;"Qubahan";"2021-2025";"Business, Management and Accounting (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Education (Q2); Artificial Intelligence (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
197;21101176787;"Proceedings - AAAI Artificial Intelligence and Interactive Digital Entertainment Conference, AIIDE";conference and proceedings;"23340924, 2326909X";"Association for the Advancement of Artificial Intelligence";No;No;0,510;-;17;32;91;991;204;87;2,24;30,97;29,63;0;0;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2016-2017, 2022-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Science Applications; Human-Computer Interaction; Software";"Computer Science"
198;21100197357;"IEEE-RAS International Conference on Humanoid Robots";conference and proceedings;"21640580, 21640572";"IEEE Computer Society";No;No;0,506;-;58;123;284;3536;556;280;1,71;28,75;15,76;0;11;United States;Northern America;"IEEE Computer Society";"2011-2012, 2014-2019, 2021-2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Hardware and Architecture; Human-Computer Interaction";"Computer Science; Engineering"
199;12962;"Journal of Intelligent Systems";journal;"03341860, 2191026X";"Walter de Gruyter GmbH";Yes;No;0,500;Q3;35;102;259;3913;992;258;3,76;38,36;40,87;0;37;Germany;Western Europe;"Walter de Gruyter GmbH";"1991-2002, 2004-2025";"Information Systems (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science"
200;21101131211;"Proceedings - IEEE International Conference on Edge Computing";conference and proceedings;"27679918, 2767990X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,499;-;8;26;107;696;193;87;1,57;26,77;21,74;0;2;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2024";"Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture";"Computer Science"
201;15552;"Microprocessors and Microsystems";journal;"01419331";"Elsevier B.V.";No;No;0,493;Q3;59;66;931;2781;3007;930;3,99;42,14;18,82;0;14;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science"
202;15435;"Journal of Consciousness Studies";journal;"20512201, 13558250";"Imprint Academic";No;No;0,492;Q3;77;64;218;2953;309;192;1,25;46,14;20,00;0;2;United Kingdom;Western Europe;"Imprint Academic";"1996-2025";"Philosophy (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Artificial Intelligence (Q3); Psychology (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Computer Science; Psychology"
203;21101076317;"Intelligence-Based Medicine";journal;"26665212";"Elsevier B.V.";Yes;No;0,490;Q3;15;53;70;2185;231;64;3,30;41,23;36,89;0;26;Netherlands;Western Europe;"Elsevier B.V.";"2020, 2022-2025";"Computer Science Applications (Q2); Artificial Intelligence (Q3); Health Informatics (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Medicine"
204;21100970247;"International Journal of Data and Network Science";journal;"25618148, 25618156";"Growing Science";Yes;Yes;0,488;Q3;40;238;449;11524;3258;449;7,77;48,42;30,81;0;83;Canada;Northern America;"Growing Science";"2018-2024";"Communication (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science; Social Sciences"
205;21101200244;"Journal of Fuzzy Extension and Applications";journal;"27831442, 27173453";"Research Expansion Alliance (REA)";Yes;Yes;0,485;Q3;16;50;84;1984;295;84;3,84;39,68;30,65;0;14;Serbia;Eastern Europe;"Research Expansion Alliance (REA)";"2020-2025";"Applied Mathematics (Q2); Logic (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
206;21100792090;"Journal of Artificial Intelligence and Soft Computing Research";journal;"24496499, 20832567";"De Gruyter Open Ltd";Yes;No;0,483;Q3;29;25;60;1243;149;60;2,80;49,72;25,30;0;2;Poland;Eastern Europe;"De Gruyter Open Ltd";"2013-2025";"Computer Vision and Pattern Recognition (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Modeling and Simulation (Q2); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
207;21100810658;"Paladyn";journal;"20814836";"Walter de Gruyter GmbH";Yes;No;0,483;Q3;31;8;70;292;232;69;2,41;36,50;53,85;0;3;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2010-2024";"Artificial Intelligence (Q3); Cognitive Neuroscience (Q3); Human-Computer Interaction (Q3); Behavioral Neuroscience (Q4); Developmental Neuroscience (Q4)";"Computer Science; Neuroscience"
208;21101243610;"Intelligent Transportation Infrastructure";journal;"27529991";"Oxford University Press";No;No;0,480;Q3;6;24;48;1143;117;47;2,44;47,63;32,00;0;12;United Kingdom;Western Europe;"Oxford University Press";"2022-2025";"Building and Construction (Q2); Civil and Structural Engineering (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Transportation (Q3)";"Computer Science; Engineering; Mathematics; Social Sciences"
209;21101044881;"International Journal of Serious Games";journal;"23848766";"Serious Games Society";Yes;Yes;0,480;Q3;14;33;88;1619;215;74;2,20;49,06;35,14;0;8;Italy;Western Europe;"Serious Games Society";"2019-2024";"Applied Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Education (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Mathematics; Social Sciences"
210;21100781972;"Progress in Artificial Intelligence";journal;"21926360, 21926352";"Springer Nature";No;No;0,476;Q3;32;38;82;1681;310;82;3,71;44,24;25,00;0;10;Germany;Western Europe;"Springer Nature";"2012-2025";"Artificial Intelligence (Q3)";"Computer Science"
211;21100873335;"Journal of Control and Decision";journal;"23307714, 23307706";"Taylor and Francis Ltd.";No;No;0,475;Q3;24;157;177;5626;477;176;2,93;35,83;29,06;0;19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2025";"Computer Networks and Communications (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Signal Processing (Q3)";"Computer Science; Engineering; Mathematics"
212;21101063739;"Journal of Medical Artificial Intelligence";journal;"26172496";"AME Publishing Company";Yes;No;0,474;Q3;11;40;50;1471;128;43;2,84;36,78;33,97;0;17;Hong Kong;Asiatic Region;"AME Publishing Company";"2018-2025";"Artificial Intelligence (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Medicine"
213;144945;"Networks and Spatial Economics";journal;"1566113X";"Kluwer Academic Publishers";No;No;0,472;Q3;61;56;107;2657;219;104;1,67;47,45;27,74;0;28;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2025";"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Software (Q3)";"Computer Science"
214;21100935977;"International Journal of Intelligent Robotics and Applications";journal;"23665971, 2366598X";"Springer Singapore";No;No;0,467;Q3;25;104;144;4801;453;139;3,32;46,16;19,17;0;27;Singapore;Asiatic Region;"Springer Singapore";"2017-2025";"Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science"
215;12409;"Multidimensional Systems and Signal Processing";journal;"15730824, 09236082";"Springer Netherlands";No;No;0,465;Q3;48;6;155;236;449;155;2,62;39,33;43,75;0;0;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Applied Mathematics (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Hardware and Architecture (Q3); Signal Processing (Q3); Software (Q3)";"Computer Science; Mathematics"
216;21101022415;"Spatial Information Research";journal;"23663286, 23663294";"Korean Spatial Information Society";No;No;0,465;Q3;30;63;198;2712;569;198;2,64;43,05;34,57;0;41;Singapore;Asiatic Region;"Korean Spatial Information Society";"2016-2025";"Computers in Earth Sciences (Q2); Geography, Planning and Development (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Earth and Planetary Sciences; Social Sciences"
217;21101081506;"Journal of Financial Data Science";journal;"26403951, 26403943";"With intelligence";No;No;0,459;Q3;16;35;106;1167;185;102;1,01;33,34;16,22;0;0;United Kingdom;Western Europe;"With intelligence";"2019-2025";"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2); Artificial Intelligence (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance"
218;24358;"Journal of Heuristics";journal;"13811231, 15729397";"Springer Netherlands";No;No;0,458;Q3;75;14;74;522;159;73;1,82;37,29;20,00;0;2;Netherlands;Western Europe;"Springer Netherlands";"1995-2025";"Computer Networks and Communications (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Mathematics"
219;21101048389;"CCF Transactions on Pervasive Computing and Interaction";journal;"25245228, 2524521X";"Springer Verlag";No;No;0,445;Q3;18;32;86;1568;250;83;2,75;49,00;37,17;0;5;Germany;Western Europe;"Springer Verlag";"2019-2025";"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q3)";"Computer Science"
220;21101058819;"Journal of Robotics and Control (JRC)";journal;"27155056, 27155072";"Department of Electrical Engineering, Universitas Muhammadiyah Yogyakarta";No;No;0,435;Q3;26;164;272;13067;1088;272;4,23;79,68;21,99;0;54;Indonesia;Asiatic Region;"Department of Electrical Engineering, Universitas Muhammadiyah Yogyakarta";"2020-2025";"Control and Systems Engineering (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering"
221;21101190270;"Journal of Computational Mathematics and Data Science";journal;"27724158";"Elsevier B.V.";Yes;No;0,433;Q3;12;16;52;641;216;52;4,59;40,06;27,78;0;1;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Applied Mathematics (Q2); Artificial Intelligence (Q3); Computational Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science; Mathematics"
222;21100900308;"Intelligenza Artificiale";journal;"17248035, 22110097";"SAGE Publications Ltd";No;No;0,430;Q3;9;19;35;1045;79;34;1,50;55,00;31,67;0;3;Netherlands;Western Europe;"SAGE Publications Ltd";"2018-2024";"Artificial Intelligence (Q3)";"Computer Science"
223;21101047452;"Journal of Soft Computing in Civil Engineering";journal;"25882872";"Pouyan Press";Yes;Yes;0,426;Q3;19;21;84;1026;254;84;3,25;48,86;12,73;0;6;Iran;Middle East;"Pouyan Press";"2017-2024";"Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering"
224;12931;"Cybernetics and Systems";journal;"10876553, 01969722";"Taylor and Francis Ltd.";No;No;0,424;Q3;49;112;204;4281;559;198;2,76;38,22;27,27;0;31;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
225;130045;"Journal of Applied Biomedicine";journal;"12140287, 1214021X";"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";Yes;No;0,424;Q3;40;27;70;1331;159;70;2,23;49,30;44,63;0;14;Czech Republic;Eastern Europe;"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";"2005-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biomedical Engineering (Q3); Health, Toxicology and Mutagenesis (Q3); Immunology and Microbiology (miscellaneous)  (Q3); Medicine (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Environmental Science; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
226;19900191975;"Journal of Uncertain Systems";journal;"17528917, 17528909";"World Scientific";No;No;0,422;Q3;22;39;88;1632;163;86;1,75;41,85;34,18;0;4;Singapore;Asiatic Region;"World Scientific";"2011-2019, 2021-2025";"Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3)";"Computer Science; Mathematics"
227;23670;"Annals of Mathematics and Artificial Intelligence";journal;"15737470, 10122443";"Springer Netherlands";No;No;0,419;Q3;61;81;161;3134;232;149;1,50;38,69;22,75;0;4;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Applied Mathematics (Q3); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
228;21100790723;"Computability";journal;"22113576, 22113568";"SAGE Publications Ltd";No;No;0,416;Q3;13;22;54;718;29;52;0,69;32,64;15,09;0;0;Netherlands;Western Europe;"SAGE Publications Ltd";"2012-2024";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
